id,image_id,category_id,iscrowd,area,bbox0,bbox1,bbox2,bbox3,seg0,seg1,seg2,seg3,seg4,seg5,seg6,seg7
0,0,1,0,185256,448,299,664,279,448,299,448,578,1112,578,1112,299
1,0,1,0,41349,1101,291,179,231,1101,291,1101,522,1280,522,1280,291
2,1,1,0,254520,0,240,630,404,0,240,0,644,630,644,630,240
3,1,1,0,165825,592,254,603,275,592,254,592,529,1195,529,1195,254
4,2,1,0,14268,714,258,116,123,714,258,714,381,830,381,830,258
5,3,1,0,27384,736,242,163,168,736,242,736,410,899,410,899,242
6,4,1,0,87780,784,186,308,285,784,186,784,471,1092,471,1092,186
7,5,1,0,215798,906,0,374,577,906,0,906,577,1280,577,1280,0
8,6,2,0,924,770,321,22,42,770,321,770,363,792,363,792,321
9,7,4,0,1242,785,311,23,54,785,311,785,365,808,365,808,311
10,8,4,0,2590,861,295,37,70,861,295,861,365,898,365,898,295
11,9,4,0,4633,950,306,41,113,950,306,950,419,991,419,991,306
12,10,4,0,17892,1171,297,84,213,1171,297,1171,510,1255,510,1255,297
13,11,4,0,1792,834,314,28,64,834,314,834,378,862,378,862,314
14,12,4,0,3960,896,306,40,99,896,306,896,405,936,405,936,306
15,13,4,0,19530,1004,292,93,210,1004,292,1004,502,1097,502,1097,292
16,14,1,0,972,730,307,36,27,730,307,730,334,766,334,766,307
17,14,1,0,1190,662,304,35,34,662,304,662,338,697,338,697,304
18,15,1,0,875,728,313,35,25,728,313,728,338,763,338,763,313
19,15,1,0,1225,656,308,35,35,656,308,656,343,691,343,691,308
20,16,1,0,1085,725,314,35,31,725,314,725,345,760,345,760,314
21,16,1,0,1225,650,310,35,35,650,310,650,345,685,345,685,310
22,17,1,0,891,723,315,33,27,723,315,723,342,756,342,756,315
23,17,1,0,1369,641,307,37,37,641,307,641,344,678,344,678,307
24,18,1,0,1178,719,313,38,31,719,313,719,344,757,344,757,313
25,18,1,0,1443,632,307,39,37,632,307,632,344,671,344,671,307
