filename,width,height,class,xmin,ymin,xmax,ymax
20210501_150607_frame_10.jpg,1280,720,car,449,300,1112,578
20210501_150607_frame_10.jpg,1280,720,car,1102,292,1280,522
20210501_150607_frame_100.jpg,1280,720,car,0,241,630,644
20210501_150607_frame_100.jpg,1280,720,car,593,255,1195,529
20210501_150607_frame_10000.jpg,1280,720,car,715,259,830,381
20210501_150607_frame_10010.jpg,1280,720,car,737,243,899,410
20210501_150607_frame_10020.jpg,1280,720,car,785,187,1092,471
20210501_150607_frame_10030.jpg,1280,720,car,907,0,1280,577
20210501_150607_frame_10070.jpg,1280,720,motorcycle,771,322,792,363
20210501_150607_frame_10080.jpg,1280,720,person,786,312,808,365
20210501_150607_frame_10100.jpg,1280,720,person,862,296,898,365
20210501_150607_frame_10110.jpg,1280,720,person,951,307,991,419
20210501_150607_frame_10120.jpg,1280,720,person,1172,298,1255,510
20210501_150607_frame_10170.jpg,1280,720,person,835,315,862,378
20210501_150607_frame_10180.jpg,1280,720,person,897,307,936,405
20210501_150607_frame_10210.jpg,1280,720,person,1005,293,1097,502
20210501_150607_frame_10460.jpg,1280,720,car,731,308,766,334
20210501_150607_frame_10460.jpg,1280,720,car,663,305,697,338
20210501_150607_frame_10470.jpg,1280,720,car,729,314,763,338
20210501_150607_frame_10470.jpg,1280,720,car,657,309,691,343
20210501_150607_frame_10480.jpg,1280,720,car,726,315,760,345
20210501_150607_frame_10480.jpg,1280,720,car,651,311,685,345
20210501_150607_frame_10490.jpg,1280,720,car,724,316,756,342
20210501_150607_frame_10490.jpg,1280,720,car,642,308,678,344
20210501_150607_frame_10500.jpg,1280,720,car,720,314,757,344
20210501_150607_frame_10500.jpg,1280,720,car,633,308,671,344
20210501_150607_frame_10510.jpg,1280,720,car,715,312,756,345
20210501_150607_frame_10510.jpg,1280,720,car,621,304,663,345
20210501_150607_frame_10520.jpg,1280,720,person,1007,302,1083,449
20210501_150607_frame_10520.jpg,1280,720,car,711,315,757,354
20210501_150607_frame_10520.jpg,1280,720,car,613,311,652,351
20210501_150607_frame_10530.jpg,1280,720,car,712,317,763,359
20210501_150607_frame_10530.jpg,1280,720,car,606,312,647,352
20210501_150607_frame_10540.jpg,1280,720,car,714,316,770,362
20210501_150607_frame_10540.jpg,1280,720,car,596,314,636,353
20210501_150607_frame_10550.jpg,1280,720,car,716,309,784,362
20210501_150607_frame_10550.jpg,1280,720,car,586,307,629,350
20210501_150607_frame_10560.jpg,1280,720,car,728,304,813,371
20210501_150607_frame_10560.jpg,1280,720,person,1013,315,1042,399
20210501_150607_frame_10560.jpg,1280,720,car,583,308,632,352
20210501_150607_frame_10570.jpg,1280,720,person,1024,313,1066,403
20210501_150607_frame_10570.jpg,1280,720,car,749,299,857,379
20210501_150607_frame_10570.jpg,1280,720,car,577,301,626,349
20210501_150607_frame_10580.jpg,1280,720,person,1050,313,1096,417
20210501_150607_frame_10580.jpg,1280,720,car,777,302,932,407
20210501_150607_frame_10580.jpg,1280,720,car,577,302,627,354
20210501_150607_frame_10580.jpg,1280,720,car,203,288,375,358
20210501_150607_frame_10590.jpg,1280,720,person,1079,317,1124,425
20210501_150607_frame_10590.jpg,1280,720,car,830,298,1086,465
20210501_150607_frame_10590.jpg,1280,720,car,566,305,622,355
20210501_150607_frame_10590.jpg,1280,720,car,112,284,342,367
20210501_150607_frame_10600.jpg,1280,720,car,959,282,1280,630
20210501_150607_frame_10600.jpg,1280,720,car,559,304,617,359
20210501_150607_frame_10600.jpg,1280,720,car,71,275,305,373
20210501_150607_frame_10610.jpg,1280,720,car,0,269,224,375
20210501_150607_frame_10610.jpg,1280,720,car,544,299,610,364
20210501_150607_frame_10610.jpg,1280,720,person,1148,317,1241,462
20210501_150607_frame_10620.jpg,1280,720,car,523,296,596,363
20210501_150607_frame_10620.jpg,1280,720,car,0,259,164,388
20210501_150607_frame_10630.jpg,1280,720,car,510,300,588,379
20210501_150607_frame_10640.jpg,1280,720,car,479,298,569,383
20210501_150607_frame_10650.jpg,1280,720,car,448,292,554,390
20210501_150607_frame_10660.jpg,1280,720,car,410,291,532,406
20210501_150607_frame_10670.jpg,1280,720,car,344,289,507,424
20210501_150607_frame_10680.jpg,1280,720,car,255,280,469,451
20210501_150607_frame_10690.jpg,1280,720,person,883,290,932,430
20210501_150607_frame_10690.jpg,1280,720,car,94,260,420,489
20210501_150607_frame_10700.jpg,1280,720,car,0,237,358,597
20210501_150607_frame_10710.jpg,1280,720,car,0,235,242,647
20210501_150607_frame_10870.jpg,1280,720,person,1215,305,1280,486
20210501_150607_frame_110.jpg,1280,720,car,0,238,509,634
20210501_150607_frame_110.jpg,1280,720,car,471,262,1084,533
20210501_150607_frame_11100.jpg,1280,720,person,1084,323,1148,485
20210501_150607_frame_11110.jpg,1280,720,person,891,305,923,411
20210501_150607_frame_11120.jpg,1280,720,person,1175,275,1269,535
20210501_150607_frame_11160.jpg,1280,720,person,817,302,852,386
20210501_150607_frame_11170.jpg,1280,720,person,914,295,954,415
20210501_150607_frame_11180.jpg,1280,720,person,1206,273,1278,521
20210501_150607_frame_11190.jpg,1280,720,person,906,332,966,442
20210501_150607_frame_11190.jpg,1280,720,person,885,290,956,432
20210501_150607_frame_11190.jpg,1280,720,person,862,300,890,396
20210501_150607_frame_11190.jpg,1280,720,person,776,304,798,367
20210501_150607_frame_11200.jpg,1280,720,person,1027,297,1077,416
20210501_150607_frame_11200.jpg,1280,720,person,958,288,1007,391
20210501_150607_frame_11200.jpg,1280,720,person,929,287,971,405
20210501_150607_frame_11200.jpg,1280,720,person,813,290,844,347
20210501_150607_frame_11210.jpg,1280,720,person,1108,280,1182,455
20210501_150607_frame_11210.jpg,1280,720,person,876,290,928,401
20210501_150607_frame_11220.jpg,1280,720,person,1028,274,1118,454
20210501_150607_frame_11260.jpg,1280,720,person,1036,301,1087,439
